d13C	d15N	%N	%C	C_N_ratio	archaeological category	P	K	Ca	Mn
-25,50849733	4,331906275	0,0012	0,0167	7,17	COURT	505,8231293	18730,66667	737,3529135	540
-25,86969982	5,586806878	0,0013	0,0155	8,38	COURT	365,4642623	18780	786,1707616	607
-24,85853693	1,60321554	0,0073	0,1349	5,38	COURT	1073	14582,66667	6140	1386
-26,42986977	4,704315609	0,0017	0,017	9,74	COURT	550,8888136	19489,33333	4728,333333	1283,666667
-25,15647796	5,038097379	0,0009	0,0144	6,06	COURT	284	114659,0834	682,393236	476,4999983
-25,94622577	5,314433029	0,0011	0,0158	7,21	COURT	497,2677408	22777,5	1046,666667	567,5
-26,13601012	3,770320922	0,0016	0,0202	8,15	COURT	313,1027338	20350	842,7042105	586
-25,93398162	5,45606743	0,0023	0,0298	7,75	COURT	452,2756463	17550,66667	829,2927928	473,6666667
-26,29722479	2,940323523	0,0043	0,0308	14,1	COURT	463,2642177	19072,66667	849,4414414	511,3333333
-26,3727304	4,420056356	0,001	0,0128	7,72	COURT	473,9039456	20120,33333	868,9504505	538,6666667
-26,03091449	3,965439642	0,0019	0,0249	7,81	COURT	636,6107955	20871,33333	772,3333333	1082,333333
-26,09077479	4,275450604	0,0018	0,0231	7,62	COURT	406,5771429	19924,33333	745,5	360,6666667
-26,33191656	1,262500617	0,0009	0,012	7,36	COURT	328,4686885	20440,66667	322,8026806	575
-26,32375379	3,34838907	0,0022	0,03	7,42	COURT	496,7603802	17970	941,264637	415
-26,18192569	4,916271985	0,0023	0,0272	8,52	MEDIEVAL FIELD	347,0993197	16862,66667	848,8491803	350,6666667
-26,28702133	2,73827165	0,0024	0,0342	7,16	COURT	264,9783439	16261	1078,80663	210,3333333
-25,82684529	5,561055168	0,002	0,0229	8,73	MEDIEVAL FIELD	385,0695876	17374	901,5720721	584
-26,19008846	5,800744155	0,0021	0,0257	8,2	MEDIEVAL FIELD	271	84418,91665	870,1543588	668,1666667
-26,38293386	6,161268085	0,0019	0,034	5,51	MEDIEVAL FIELD	337,099124	17545,33333	1068,099672	532,3333333
-25,82072321	5,765087942	0,0009	0,0108	8,54	MEDIEVAL FIELD	571,0581516	18638,66667	1099,064215	503,3333333
-24,97179534	4,427979959	0,0011	0,016	7,11	MEDIEVAL VILLAGE	325,7694874	22503	478,8847605	1025,333333
-25,12484724	5,056420711	0,0019	0,0312	5,96	MEDIEVAL VILLAGE	229,6764852	20920	2865,825583	593
-25,75542107	4,733038669	0,0009	0,012	7,83	MEDIEVAL VILLAGE	279,6031746	22810,33333	1499,04808	314
-26,46660223	6,062223049	0,0008	0,0097	8,24	MEDIEVAL FIELD	328,3485477	16996,66667	1040,373443	507,6666667
-25,87990328	2,068727208	0,0018	0,035	5,05	MEDIEVAL FIELD	534,199247	18825,66667	654,0315315	405,6666667
-25,28300087	4,408170952	0,0014	0,0241	5,91	MEDIEVAL FIELD	502,2353249	18876	2542,468065	1143,666667
-26,28600099	6,224656907	0,001	0,0136	7,28	MEDIEVAL FIELD	515,8106611	17656,33333	656,9099099	384,6666667
-26,67985454	4,085284136	0,0017	0,0274	6,1	MEDIEVAL FIELD	483,6666667	17691,66667	789,1400464	344,3333333
-25,63910162	5,348108341	0,0008	0,0128	6,34	MEDIEVAL FIELD	304,6134021	19888	2043,046739	429,3333333
-24,70446469	4,09716954	0,0006	0,0092	6,29	MEDIEVAL FIELD	325,5214385	21234,33333	2215,285657	499,3333333
-26,24314645	2,566923738	0,0009	0,016	5,31	MEDIEVAL FIELD	399,5398062	19015	714,7161253	233,3333333
-25,15443728	0,258679181	0,0007	0,0078	9,03	MEDIEVAL VILLAGE	209,8560091	24190,66667	1006,909414	193,6666667
-26,179885	4,73402912	0,0012	0,0182	6,83	MEDIEVAL VILLAGE	289,922293	24863	1114,170806	185
-25,39319824	4,848921361	0,0014	0,0179	7,94	MEDIEVAL VILLAGE	270,1489203	22527,66667	817,1396396	566,3333333
-25,91663573	2,820479029	0,001	0,0186	5,48	MEDIEVAL VILLAGE	442,9668079	19648	792,9788969	366,6666667
-25,89622881	5,363955547	0,001	0,0151	6,39	MEDIEVAL VILLAGE	427,4673729	18910	617,0881107	421
-26,01764999	4,229889888	0,001	0,0155	6,39	MEDIEVAL VILLAGE	367,759322	17857,66667	890,6518033	308,3333333
-26,15335601	4,62507958	0,0008	0,0129	6,13	MEDIEVAL VILLAGE	339,0759184	21885,33333	621,7297297	260,6666667
