Identifier	d13C	d15N	Site	%N	%C	C_N_ratio	Category	type	Category2	P
13361261	-26.82678437	4.630031832	trebokov	0.16	1.59	9.98	FIELDS		A	319.7657795
13381263	-26.50129399	4.206119079	trebokov	0.15	1.44	10.44	FIELDS		A	354.2941378
13341263	-26.89514755	4.848921361	trebokov	0.15	1.45	10.54	FIELDS		A	252.8664092
13321265	-27.14207128	4.655783541	trebokov	0.16	1.59	9.88	FIELDS		A	302.6141821
12461166	-25.50849733	4.331906275	trebokov	0.12	1.67	7.17	COURT		A	505.8231293
12461165	-25.86969982	5.586806878	trebokov	0.13	1.55	8.38	COURT		A	365.4642623
12441167	-24.85853693	1.60321554	trebokov	0.73	13.49	5.38	COURT		A	1073
12431169	-26.42986977	4.704315609	trebokov	0.17	1.70	9.74	COURT		A	550.8888136
12431164	-25.15647796	5.038097379	trebokov	0.09	1.44	6.06	COURT		A	284
12421164	-25.94622577	5.314433029	trebokov	0.11	1.58	7.21	COURT		A	497.2677408
12411170	-26.13601012	3.770320922	trebokov	0.16	2.02	8.15	COURT		A	313.1027338
12401171	-25.93398162	5.45606743	trebokov	0.23	2.98	7.75	COURT		A	452.2756463
12391171	-26.29722479	2.940323523	trebokov	0.43	3.08	14.1	COURT		A	463.2642177
12391167	-26.3727304	4.420056356	trebokov	0.10	1.28	7.72	COURT		A	473.9039456
12381172	-26.03091449	3.965439642	trebokov	0.19	2.49	7.81	COURT		A	636.6107955
12381167	-26.09077479	4.275450604	trebokov	0.18	2.31	7.62	COURT		A	406.5771429
12381166	-26.33191656	1.262500617	trebokov	0.09	1.20	7.36	COURT		A	328.4686885
12371169	-26.32375379	3.34838907	trebokov	0.22	3.00	7.42	COURT		A	496.7603802
12361174	-26.18192569	4.916271985	trebokov	0.23	2.72	8.52	MEDIEVAL FIELD		A	347.0993197
12361168	-26.28702133	2.73827165	trebokov	0.24	3.42	7.16	COURT		A	264.9783439
12351174	-25.82684529	5.561055168	trebokov	0.20	2.29	8.73	MEDIEVAL FIELD		A	385.0695876
12351173	-26.19008846	5.800744155	trebokov	0.21	2.57	8.2	MEDIEVAL FIELD		A	271
12331170	-26.38293386	6.161268085	trebokov	0.19	3.40	5.51	MEDIEVAL FIELD		A	337.099124
12331169	-25.82072321	5.765087942	trebokov	0.09	1.08	8.54	MEDIEVAL FIELD		A	571.0581516
12321191	-24.97179534	4.427979959	trebokov	0.11	1.60	7.11	MEDIEVAL VILLAGE		A	325.7694874
12321190	-25.12484724	5.056420711	trebokov	0.19	3.12	5.96	MEDIEVAL VILLAGE		A	229.6764852
12321189	-25.75542107	4.733038669	trebokov	0.09	1.20	7.83	MEDIEVAL VILLAGE		A	279.6031746
12321170	-26.46660223	6.062223049	trebokov	0.08	0.97	8.24	MEDIEVAL FIELD		A	328.3485477
12321169	-25.87990328	2.068727208	trebokov	0.18	3.50	5.05	MEDIEVAL FIELD		A	534.199247
12311176	-25.28300087	4.408170952	trebokov	0.14	2.41	5.91	MEDIEVAL FIELD		A	502.2353249
