Identifier	d13C	d15N	category	dating	%N	%C	C_N_ratio	archaeological category	XX	YY	category_type	family	part	type	Category	P	K	Ca	Mn	Cu	Zn	As	Pb
13361261	-26,82678437	4,630031832	trebokov	High Medieval P.	0,16	1,59	9,98	FIELDS	-814250	-1056600					A	319,7657795	24472,66667	1898,333333	523	26,66666667	125	11,33333333	28
13381263	-26,50129399	4,206119079	trebokov	High Medieval P.	0,15	1,44	10,44	FIELDS	-814230	-1056580					A	354,2941378	26414	1994,333333	404,3333333	33,66666667	142,6666667	12	28
13341263	-26,89514755	4,848921361	trebokov	High Medieval P.	0,15	1,45	10,54	FIELDS	-814270	-1056580					A	252,8664092	26311,33333	1230,333333	388	38	122,6666667	11	24,33333333
13321265	-27,14207128	4,655783541	trebokov	High Medieval P.	0,16	1,59	9,88	FIELDS	-814290	-1056560					A	302,6141821	24680,66667	1326	464,3333333	42	124,6666667	13,66666667	24,33333333
12461166	-25,50849733	4,331906275	trebokov	High Medieval P.	0,12	1,67	7,17	COURT	-815150	-1057550					A	505,8231293	18730,66667	737,3529135	540	32,33333333	69,66666667	19,66666667	30,33333333
12461165	-25,86969982	5,586806878	trebokov	High Medieval P.	0,13	1,55	8,38	COURT	-815150	-1057560					A	365,4642623	18780	786,1707616	607	29,66666667	77,66666667	19	29
12441167	-24,85853693	1,60321554	trebokov	High Medieval P.	0,73	13,49	5,38	COURT	-815170	-1057540					A	1073	14582,66667	6140	1386	32,33333333	97	20	70,66666667
12431169	-26,42986977	4,704315609	trebokov	High Medieval P.	0,17	1,70	9,74	COURT	-815180	-1057520					A	550,8888136	19489,33333	4728,333333	1283,666667	33,66666667	104	20,33333333	35,33333333
12431164	-25,15647796	5,038097379	trebokov	High Medieval P.	0,09	1,44	6,06	COURT	-815180	-1057570					A	284	114659,0834	682,393236	476,4999983	33,49999833	87,91666667	19,05,2023	24,66666833
12421164	-25,94622577	5,314433029	trebokov	High Medieval P.	0,11	1,58	7,21	COURT	-815190	-1057570					A	497,2677408	22777,5	1046,666667	567,5	37	100,1666667	19	85,83333333
12411170	-26,13601012	3,770320922	trebokov	High Medieval P.	0,16	2,02	8,15	COURT	-815200	-1057510					A	313,1027338	20350	842,7042105	586	28,33333333	66,33333333	16,33333333	33,33333333
12401171	-25,93398162	5,45606743	trebokov	High Medieval P.	0,23	2,98	7,75	COURT	-815210	-1057500					A	452,2756463	17550,66667	829,2927928	473,6666667	26,66666667	89,33333333	16,66666667	36
12391171	-26,29722479	2,940323523	trebokov	High Medieval P.	0,43	3,08	14,10	COURT	-815220	-1057500					A	463,2642177	19072,66667	849,4414414	511,3333333	35,33333333	89,66666667	20,66666667	34,66666667
12391167	-26,3727304	4,420056356	trebokov	High Medieval P.	0,10	1,28	7,72	COURT	-815220	-1057540					A	473,9039456	20120,33333	868,9504505	538,6666667	30,33333333	84,33333333	21,66666667	26,33333333
12381172	-26,03091449	3,965439642	trebokov	High Medieval P.	0,19	2,49	7,81	COURT	-815230	-1057490					A	636,6107955	20871,33333	772,3333333	1082,333333	30	90	23	38
12381167	-26,09077479	4,275450604	trebokov	High Medieval P.	0,18	2,31	7,62	COURT	-815230	-1057540					A	406,5771429	19924,33333	745,5	360,6666667	28,33333333	71,33333333	19	26,33333333
12381166	-26,33191656	1,262500617	trebokov	High Medieval P.	0,09	1,20	7,36	COURT	-815230	-1057550					A	328,4686885	20440,66667	322,8026806	575	47,33333333	100	22,33333333	33,33333333
12371169	-26,32375379	3,34838907	trebokov	High Medieval P.	0,22	3,00	7,42	COURT	-815240	-1057520					A	496,7603802	17970	941,264637	415	27,66666667	77	25,33333333	135,6666667
12361174	-26,18192569	4,916271985	trebokov	High Medieval P.	0,23	2,72	8,52	MEDIEVAL FIELD	-815250	-1057470					A	347,0993197	16862,66667	848,8491803	350,6666667	33	98,66666667	17,66666667	29,66666667
12361168	-26,28702133	2,73827165	trebokov	High Medieval P.	0,24	3,42	7,16	COURT	-815250	-1057530					A	264,9783439	16261	1078,80663	210,3333333	38,33333333	105,6666667	24	26
12351174	-25,82684529	5,561055168	trebokov	High Medieval P.	0,20	2,29	8,73	MEDIEVAL FIELD	-815260	-1057470					A	385,0695876	17374	901,5720721	584	32	82,66666667	15	45
12351173	-26,19008846	5,800744155	trebokov	High Medieval P.	0,21	2,57	8,20	MEDIEVAL FIELD	-815260	-1057480					A	271	84418,91665	870,1543588	668,1666667	37,50000167	110,5000017	17,41666667	28,58333167
12331170	-26,38293386	6,161268085	trebokov	High Medieval P.	0,19	3,40	5,51	MEDIEVAL FIELD	-815280	-1057510					A	337,099124	17545,33333	1068,099672	532,3333333	39	106	19	31
12331169	-25,82072321	5,765087942	trebokov	High Medieval P.	0,09	1,08	8,54	MEDIEVAL FIELD	-815280	-1057520					A	571,0581516	18638,66667	1099,064215	503,3333333	46,33333333	107,3333333	21	19
12321191	-24,97179534	4,427979959	trebokov	High Medieval P.	0,11	1,60	7,11	MEDIEVAL VILLAGE	-815290	-1057300					A	325,7694874	22503	478,8847605	1025,333333	36,66666667	125	24,33333333	36,33333333
12321190	-25,12484724	5,056420711	trebokov	High Medieval P.	0,19	3,12	5,96	MEDIEVAL VILLAGE	-815290	-1057310					A	229,6764852	20920	2865,825583	593	43,66666667	230,3333333	67,33333333	52
